Whisky,Age,MetaCritic,StDev,Num_of_Critics,Cost,Class,SuperCluster,Cluster,Country,Type
Ledaig 42yo Dusgadh,42,9.46,0.24,3,>$300 CAD,SingleMalt-like,ABC,C,Scotland,Malt
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)",27,9.39,0.2,4,>$300 CAD,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 40yo,40,9.27,0.26,15,>$300 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Glengoyne 25yo,25,9.2,0.23,14,>$300 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Spectrum (Batch 1),0,9.18,0.24,10,$125-300 CAD,SingleMalt-like,ABC,C,India,Malt
Highland Park 25yo,25,9.17,0.17,14,>$300 CAD,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 40yo,40,9.16,0.44,10,>$300 CAD,SingleMalt-like,ABC,C,Scotland,Malt
Amrut Greedy Angels (8yo and 10yo),8,9.12,0.17,8,>$300 CAD,SingleMalt-like,ABC,C,India,Malt
Balvenie TUN 1401 (all 9 batches),0,9.12,0.28,17,>$300 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 30yo,30,9.12,0.41,13,>$300 CAD,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 33),0,9.11,0.13,5,$70-125 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 37),0,9.11,0.09,3,$70-125 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Spectrum (all batches),0,9.11,0.19,11,$125-300 CAD,SingleMalt-like,ABC,C,India,Malt
Kavalan Solist PX Cask,0,9.11,0.55,8,>$300 CAD,SingleMalt-like,ABC,A,Taiwan,Malt
Nikka Single Cask Coffey Malt 12yo,23,9.11,0.48,9,$125-300 CAD,SingleMalt-like,ABC,C,Japan,Malt
Redbreast 21yo,21,9.11,0.29,17,$125-300 CAD,SingleMalt-like,ABC,C,Ireland,Malt
Amrut Spectrum 004 (Batch 2),0,9.1,0.2,7,$125-300 CAD,SingleMalt-like,ABC,C,India,Malt
Laphroaig 25yo,25,9.1,0.27,19,>$300 CAD,SingleMalt-like,ABC,C,Scotland,Malt
Yamazaki 18yo,18,9.1,0.24,21,$125-300 CAD,SingleMalt-like,ABC,C,Japan,Malt
Compass Box Last Vatted Malt,0,9.09,0.13,4,$125-300 CAD,SingleMalt-like,ABC,C,Scotland,Malt
Tamdhu 30yo (MacPhail Collection 2009),30,9.09,0.1,3,$125-300 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 40),0,9.08,0.13,4,$70-125 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 49),0,9.08,0.21,9,$70-125 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 52),0,9.07,0.26,4,$70-125 CAD,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 17yo The Dark,17,9.07,0.38,12,$125-300 CAD,SingleMalt-like,ABC,C,Scotland,Malt
Kavalan Solist Sherry Cask,0,9.07,0.28,19,$125-300 CAD,SingleMalt-like,ABC,A,Taiwan,Malt
